Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,bacterium LWQ8,bacterium LWQ8,bacterium LWQ8
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,bacterium LWQ8,bacterium LWQ8,bacterium LWQ8
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,bacterium LWQ8,bacterium LWQ8,bacterium LWQ8
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,bacterium LWQ8,bacterium LWQ8,bacterium LWQ8
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,metagenome,metagenome,metagenome
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
Bacteria,Patescibacteria,Microgenomatia,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Patescibacteria,Microgenomatia,Candidatus Amesbacteria,NA,NA,NA
Bacteria,Patescibacteria,Gracilibacteria,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium
Bacteria,Patescibacteria,Parcubacteria,Candidatus Yonathbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Parcubacteria,Candidatus Kaiserbacteria,NA,NA,NA
Bacteria,Patescibacteria,Parcubacteria,Candidatus Kaiserbacteria,uncultured organism,uncultured organism,uncultured organism
Bacteria,Patescibacteria,Parcubacteria,Candidatus Kaiserbacteria,NA,NA,NA
Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Parcubacteria,Candidatus Zambryskibacteria,metagenome,metagenome,metagenome
Bacteria,Patescibacteria,Parcubacteria,Candidatus Zambryskibacteria,metagenome,metagenome,metagenome
Bacteria,Patescibacteria,Parcubacteria,Candidatus Kaiserbacteria,metagenome,metagenome,metagenome
Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Parcubacteria,Candidatus Campbellbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Parcubacteria,Candidatus Campbellbacteria,marine metagenome,marine metagenome,marine metagenome
Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Parcubacteria,Candidatus Moranbacteria,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Patescibacteria,ABY1,Candidatus Falkowbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Gracilibacteria,JGI 0000069-P22,NA,NA,NA
Bacteria,Patescibacteria,Gracilibacteria,metagenome,metagenome,metagenome,metagenome
Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria bacterium oral taxon 873,Gracilibacteria bacterium oral taxon 873,Gracilibacteria bacterium oral taxon 873,Gracilibacteria bacterium oral taxon 873
Bacteria,Patescibacteria,Microgenomatia,Candidatus Pacebacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,WS6 (Dojkabacteria),NA,NA,NA,NA
Bacteria,Patescibacteria,Parcubacteria,NA,NA,NA,NA
Bacteria,Patescibacteria,Parcubacteria,metagenome,metagenome,metagenome,metagenome
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,NA,NA
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),uncultured candidate division SR1 bacterium,uncultured candidate division SR1 bacterium,uncultured candidate division SR1 bacterium
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,NA,NA
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),metagenome,metagenome,metagenome
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),metagenome,metagenome,metagenome
Bacteria,NA,NA,NA,NA,NA,NA
Bacteria,Patescibacteria,Berkelbacteria,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,uncultured,uncultured Rhizobiales bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,uncultured alpha proteobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,Alphaproteobacteria bacterium i77
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,metagenome
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,metagenome
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI cluster,uncultured alpha proteobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Salinarimonas,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI cluster,metagenome
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,uncultured,metagenome
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,uncultured alpha proteobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium ciceri
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured proteobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Boseongicola,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium sp. HKS-05
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium sp. HKS-05
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,metagenome
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,uncultured soil bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium sp. MM70
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
